Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,Camden Kerbside,,,,,,,,,,,,,,,,,,,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"PM10 particulate matter (Hourly measured)",status/unit,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Sulphur dioxide",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit
01-01-2014,10:00,11,R ugm-3 (TEOM FDMS),189.8,P deg,7.7,P ms-1,9.1,P degC,8,R ugm-3,25,R ugm-3,38,R ugm-3,2,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),14,R ugm-3 (TEOM FDMS),190.1,P deg,7.4,P ms-1,9.3,P degC,2,R ugm-3,24,R ugm-3,27,R ugm-3,3,R ugm-3 (TEOM FDMS),54,R ugm-3,4,R ugm-3 (TEOM FDMS),0,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,11:00,6,R ugm-3 (TEOM FDMS),187.3,P deg,9.1,P ms-1,9.2,P degC,11,R ugm-3,26,R ugm-3,44,R ugm-3,-2,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),187.9,P deg,8.8,P ms-1,9.4,P degC,2,R ugm-3,22,R ugm-3,24,R ugm-3,1,R ugm-3 (TEOM FDMS),61,R ugm-3,7,R ugm-3 (TEOM FDMS),1,R ugm-3,6,R ugm-3 (TEOM FDMS)
01-01-2014,12:00,3,R ugm-3 (TEOM FDMS),185.5,P deg,10.0,P ms-1,9.2,P degC,18,R ugm-3,36,R ugm-3,63,R ugm-3,-1,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),185.6,P deg,9.7,P ms-1,9.3,P degC,3,R ugm-3,26,R ugm-3,30,R ugm-3,-2,R ugm-3 (TEOM FDMS),60,R ugm-3,5,R ugm-3 (TEOM FDMS),2,R ugm-3,7,R ugm-3 (TEOM FDMS)
01-01-2014,13:00,5,R ugm-3 (TEOM FDMS),188.8,P deg,10.5,P ms-1,9.5,P degC,19,R ugm-3,43,R ugm-3,72,R ugm-3,-2,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),188.6,P deg,10.3,P ms-1,9.6,P degC,3,R ugm-3,27,R ugm-3,33,R ugm-3,-3,R ugm-3 (TEOM FDMS),54,R ugm-3,-1,R ugm-3 (TEOM FDMS),2,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,14:00,2,R ugm-3 (TEOM FDMS),194.1,P deg,10.7,P ms-1,9.9,P degC,19,R ugm-3,36,R ugm-3,65,R ugm-3,1,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS),194.8,P deg,10.6,P ms-1,10.0,P degC,3,R ugm-3,26,R ugm-3,31,R ugm-3,-0,R ugm-3 (TEOM FDMS),52,R ugm-3,1,R ugm-3 (TEOM FDMS),2,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,15:00,0.000000,R ugm-3 (TEOM FDMS),199.1,P deg,10.6,P ms-1,10.2,P degC,15,R ugm-3,28,R ugm-3,51,R ugm-3,-1,R ugm-3 (TEOM FDMS),0.000000,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS),199.8,P deg,10.6,P ms-1,10.3,P degC,2,R ugm-3,25,R ugm-3,28,R ugm-3,2,R ugm-3 (TEOM FDMS),53,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,16:00,-0,R ugm-3 (TEOM FDMS),202.5,P deg,9.9,P ms-1,10.5,P degC,12,R ugm-3,27,R ugm-3,46,R ugm-3,0,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),204.4,P deg,10.2,P ms-1,10.5,P degC,2,R ugm-3,22,R ugm-3,25,R ugm-3,3,R ugm-3 (TEOM FDMS),54,R ugm-3,6,R ugm-3 (TEOM FDMS),3,R ugm-3,3,R ugm-3 (TEOM FDMS)
01-01-2014,17:00,-1,R ugm-3 (TEOM FDMS),203.6,P deg,9.4,P ms-1,10.7,P degC,20,R ugm-3,32,R ugm-3,62,R ugm-3,-0,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),205.9,P deg,9.6,P ms-1,10.7,P degC,2,R ugm-3,21,R ugm-3,23,R ugm-3,0,R ugm-3 (TEOM FDMS),54,R ugm-3,1,R ugm-3 (TEOM FDMS),3,R ugm-3,1,R ugm-3 (TEOM FDMS)
01-01-2014,18:00,-2,R ugm-3 (TEOM FDMS),205.1,P deg,9.1,P ms-1,10.9,P degC,13,R ugm-3,29,R ugm-3,49,R ugm-3,-1,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS),207.5,P deg,9.4,P ms-1,10.9,P degC,2,R ugm-3,21,R ugm-3,24,R ugm-3,1,R ugm-3 (TEOM FDMS),52,R ugm-3,4,R ugm-3 (TEOM FDMS),3,R ugm-3,2,R ugm-3 (TEOM FDMS)
01-01-2014,19:00,1,R ugm-3 (TEOM FDMS),209.1,P deg,8.5,P ms-1,11.3,P degC,15,R ugm-3,32,R ugm-3,55,R ugm-3,1,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS),211.5,P deg,8.8,P ms-1,11.3,P degC,2,R ugm-3,21,R ugm-3,23,R ugm-3,3,R ugm-3 (TEOM FDMS),50,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3,2,R ugm-3 (TEOM FDMS)
