Hourly measurement data supplied by UK-air on 25/7/2014
 All Data are GMT hour ending
Status: R=Ratified P=Provisional A=As supplied V=Validated S=Suspect
,,London Eltham,,,,,,,,,,,,,,,,,,,,
Date,time,"Modelled Wind Direction",status/unit,"Modelled Wind Speed",status/unit,"Modelled Temperature",status/unit,"Nitric oxide",status/unit,"Nitrogen dioxide",status/unit,"Nitrogen oxides as nitrogen dioxide",status/unit,"Non-volatile PM2.5 (Hourly measured)",status/unit,"Ozone",status/unit,"PM2.5 particulate matter (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit
01-01-2014,23:00,221.2,P deg,8.7,P ms-1,11.2,P degC,2,R ugm-3,3,R ugm-3,6,R ugm-3,2,R ugm-3 (TEOM FDMS),72,R ugm-3,3,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01-01-2014,24:00,221.6,P deg,8.4,P ms-1,11.0,P degC,2,R ugm-3,3,R ugm-3,5,R ugm-3,2,R ugm-3 (TEOM FDMS),76,R ugm-3,4,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
02-01-2014,01:00,220.0,P deg,7.9,P ms-1,9.4,P degC,1,R ugm-3,3,R ugm-3,5,R ugm-3,6,R ugm-3 (TEOM FDMS),77,R ugm-3,9,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
02-01-2014,02:00,222.5,P deg,7.6,P ms-1,9.5,P degC,1,R ugm-3,4,R ugm-3,5,R ugm-3,1,R ugm-3 (TEOM FDMS),80,R ugm-3,5,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
02-01-2014,03:00,228.3,P deg,6.8,P ms-1,10.0,P degC,1,R ugm-3,2,R ugm-3,3,R ugm-3,3,R ugm-3 (TEOM FDMS),77,R ugm-3,3,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
02-01-2014,04:00,253.5,P deg,5.8,P ms-1,9.8,P degC,1,R ugm-3,2,R ugm-3,3,R ugm-3,4,R ugm-3 (TEOM FDMS),77,R ugm-3,6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
02-01-2014,05:00,273.5,P deg,5.1,P ms-1,8.4,P degC,1,R ugm-3,5,R ugm-3,6,R ugm-3,4,R ugm-3 (TEOM FDMS),67,R ugm-3,3,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS)
02-01-2014,06:00,273.1,P deg,5.6,P ms-1,8.0,P degC,1,R ugm-3,7,R ugm-3,9,R ugm-3,2,R ugm-3 (TEOM FDMS),60,R ugm-3,6,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
02-01-2014,07:00,266.3,P deg,5.6,P ms-1,7.1,P degC,2,R ugm-3,17,R ugm-3,20,R ugm-3,4,R ugm-3 (TEOM FDMS),46,R ugm-3,5,R ugm-3 (TEOM FDMS),0,R ugm-3 (TEOM FDMS)
02-01-2014,08:00,259.0,P deg,5.7,P ms-1,6.9,P degC,4,R ugm-3,27,R ugm-3,34,R ugm-3,5,R ugm-3 (TEOM FDMS),36,R ugm-3,5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
02-01-2014,09:00,255.4,P deg,5.3,P ms-1,6.9,P degC,4,R ugm-3,25,R ugm-3,31,R ugm-3,4,R ugm-3 (TEOM FDMS),40,R ugm-3,3,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
02-01-2014,10:00,249.3,P deg,5.0,P ms-1,7.8,P degC,5,R ugm-3,23,R ugm-3,30,R ugm-3,3,R ugm-3 (TEOM FDMS),45,R ugm-3,3,R ugm-3 (TEOM FDMS),-0,R ugm-3 (TEOM FDMS)
02-01-2014,11:00,240.2,P deg,4.6,P ms-1,8.9,P degC,5,R ugm-3,19,R ugm-3,27,R ugm-3,4,R ugm-3 (TEOM FDMS),52,R ugm-3,5,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
02-01-2014,12:00,242.3,P deg,4.9,P ms-1,10.0,P degC,5,R ugm-3,16,R ugm-3,24,R ugm-3,4,R ugm-3 (TEOM FDMS),54,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,13:00,232.8,P deg,4.1,P ms-1,9.8,P degC,5,R ugm-3,15,R ugm-3,22,R ugm-3,6,R ugm-3 (TEOM FDMS),58,R ugm-3,6,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
02-01-2014,14:00,232.7,P deg,5.6,P ms-1,9.6,P degC,4,R ugm-3,15,R ugm-3,21,R ugm-3,5,R ugm-3 (TEOM FDMS),59,R ugm-3,6,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
02-01-2014,15:00,237.8,P deg,5.9,P ms-1,9.1,P degC,3,R ugm-3,13,R ugm-3,18,R ugm-3,4,R ugm-3 (TEOM FDMS),62,R ugm-3,7,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
02-01-2014,16:00,232.6,P deg,5.7,P ms-1,8.5,P degC,3,R ugm-3,13,R ugm-3,18,R ugm-3,6,R ugm-3 (TEOM FDMS),59,R ugm-3,9,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,17:00,223.9,P deg,5.0,P ms-1,8.4,P degC,3,R ugm-3,16,R ugm-3,21,R ugm-3,6,R ugm-3 (TEOM FDMS),55,R ugm-3,7,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
02-01-2014,18:00,218.6,P deg,5.2,P ms-1,8.2,P degC,2,R ugm-3,17,R ugm-3,21,R ugm-3,5,R ugm-3 (TEOM FDMS),51,R ugm-3,8,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,19:00,213.3,P deg,5.8,P ms-1,8.4,P degC,2,R ugm-3,16,R ugm-3,19,R ugm-3,3,R ugm-3 (TEOM FDMS),49,R ugm-3,4,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
02-01-2014,20:00,211.0,P deg,6.9,P ms-1,8.8,P degC,2,R ugm-3,11,R ugm-3,14,R ugm-3,4,R ugm-3 (TEOM FDMS),52,R ugm-3,7,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,21:00,207.4,P deg,7.4,P ms-1,9.3,P degC,2,R ugm-3,8,R ugm-3,10,R ugm-3,6,R ugm-3 (TEOM FDMS),57,R ugm-3,9,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,22:00,204.2,P deg,7.7,P ms-1,9.7,P degC,2,R ugm-3,6,R ugm-3,8,R ugm-3,4,R ugm-3 (TEOM FDMS),61,R ugm-3,9,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
02-01-2014,23:00,205.9,P deg,8.6,P ms-1,10.4,P degC,2,R ugm-3,4,R ugm-3,7,R ugm-3,2,R ugm-3 (TEOM FDMS),64,R ugm-3,5,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02-01-2014,24:00,201.2,P deg,9.9,P ms-1,10.5,P degC,2,R ugm-3,3,R ugm-3,6,R ugm-3,5,R ugm-3 (TEOM FDMS),67,R ugm-3,8,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
